A,B,C,D,E,F,G,H,I,J,K
0.484547069,0.562211982,0.622362088,0.500521014,0.538380652,0.97518365,0.484547069,0.622362088,0.500521014,0.538380652,Maliganant
0.037300178,0.101736973,0.165494261,0.043070511,0.051875219,0.993401006,0.037300178,0.165494261,0.043070511,0.051875219,Maliganant
0.047957371,0.087557604,0.128100703,0.114623133,0.17700666,0.994892054,0.047957371,0.128100704,0.114623133,0.17700666,Maliganant
0.158081705,0.125132932,0.12884117,0.127822161,0.126533474,0.994862528,0.158081705,0.12884117,0.12782216,0.126533474,Maliganant
0.05008881,0.126550868,0.19844502,0.077804793,0.112513144,0.992087113,0.05008881,0.19844502,0.077804793,0.112513144,Maliganant
0.2,0.238922368,0.273602369,0.192080584,0.183666316,0.989090254,0.2,0.27360237,0.192080583,0.183666316,Maliganant
0.114387211,0.305210918,0.414661237,0.221257381,0.271994392,0.983465608,0.114387211,0.414661237,0.221257381,0.271994392,Maliganant
0,0,0,0,0,1,0,0,0,0,Maliganant
0,0,0,0,0,1,0,0,0,0,Maliganant
0.032326821,0.04785537,0.074787116,0.111149705,0.174202594,0.997017904,0.032326821,0.074787116,0.111149705,0.174202594,Benign
0,0,0,0,0,1,0,0,0,0,Benign
0.026287744,0.026940801,0.02739726,0.026398055,0.026638626,0.998907549,0.026287744,0.02739726,0.026398055,0.026638626,Benign
0.023801066,0.086139667,0.141799334,0.027092741,0.031545741,0.994345829,0.023801066,0.141799334,0.027092741,0.031545741,Benign
0.138898757,0.223325062,0.256941873,0.205974297,0.236943568,0.989754582,0.138898757,0.256941873,0.205974297,0.236943568,Benign
0,0,0,0,0,1,0,0,0,0,Benign
0,0,0,0,0,1,0,0,0,0,Benign
0.06714032,0.146756469,0.177711959,0.129906217,0.17104802,0.992913832,0.06714032,0.177711959,0.129906217,0.17104802,Benign
0.038010657,0.047146402,0.068122917,0.104897534,0.160182264,0.997283636,0.038010657,0.068122917,0.104897534,0.160182264,Benign
0.256483126,0.47819922,0.564975935,0.379298368,0.432527164,0.977471892,0.256483126,0.564975935,0.379298367,0.432527164,Benign
0.363765542,0.520737327,0.580525731,0.444251476,0.487907466,0.976851852,0.363765542,0.580525731,0.444251476,0.487907466,Benign
1,1,1,1,1,0.960125543,1,1,1,1,Benign
0.060035524,0.119461184,0.188078489,0.077804793,0.10339993,0.992500472,0.060035524,0.18807849,0.077804793,0.10339993,Benign
0.040852576,0.10740872,0.170677527,0.065995137,0.084822993,0.993194326,0.040852575,0.170677527,0.065995137,0.084822993,Benign
0.053996448,0.112017015,0.181044058,0.088572421,0.10725552,0.992780967,0.053996448,0.181044058,0.088572421,0.107255521,Benign
0.039786856,0.135767458,0.199925953,0.097255992,0.105502979,0.992028061,0.039786856,0.199925953,0.097255992,0.105502979,Benign
0.029484902,0.035093938,0.052573121,0.094477249,0.151770067,0.997903675,0.029484902,0.052573121,0.094477249,0.151770067,Benign
0.037300178,0.044665012,0.05923732,0.090656478,0.142656852,0.997637944,0.037300178,0.05923732,0.090656478,0.142656852,Benign
0.084547069,0.127968805,0.174750093,0.137895102,0.196985629,0.993031935,0.084547069,0.174750093,0.137895102,0.196985629,Benign
0.060390764,0.070896845,0.079970381,0.10316082,0.137048721,0.996811224,0.060390764,0.079970381,0.10316082,0.137048721,Benign
0.112966252,0.223325062,0.319881525,0.215352553,0.279705573,0.987244898,0.112966252,0.319881525,0.215352553,0.279705573,Benign
0,0,0,0,0,1,0,0,0,0,Benign
0.058969805,0.115916342,0.160310996,0.069468565,0.084121977,0.993607686,0.058969805,0.160310996,0.069468565,0.084121977,Benign
0.326820604,0.52180078,0.587560163,0.43487322,0.490711532,0.976571358,0.326820604,0.587560163,0.43487322,0.490711532,Benign
0.019893428,0.020560085,0.028878193,0.093435221,0.147563968,0.998848498,0.019893428,0.028878193,0.093435221,0.147563968,Benign
0.03410302,0.10315491,0.168826361,0.057658909,0.085874518,0.993268141,0.03410302,0.168826361,0.057658909,0.085874518,Benign
0.054351687,0.105990783,0.163643095,0.060437652,0.076761304,0.99347482,0.054351687,0.163643095,0.060437652,0.076761304,Benign
0.214209591,0.353775257,0.4276194,0.397012852,0.421310901,0.982948909,0.214209591,0.4276194,0.397012852,0.421310901,Benign
0,0,0,0,0,1,0,0,0,0,Benign
0.098756661,0.188585608,0.265457238,0.184091699,0.250613389,0.989415037,0.098756661,0.265457238,0.184091698,0.250613389,Benign
0.082415631,0.278979085,0.400592373,0.169850643,0.239747634,0.984026597,0.082415631,0.400592373,0.169850642,0.239747634,Benign
0.039431616,0.104572847,0.166975194,0.061827023,0.086225026,0.993341955,0.039431616,0.166975194,0.061827023,0.086225026,Benign
0.220248668,0.221552641,0.225842281,0.254949635,0.281107606,0.990994662,0.220248668,0.225842281,0.254949635,0.281107606,Benign
0.022024867,0.021269054,0.021843762,0.02084057,0.020679986,0.999128992,0.022024867,0.021843762,0.02084057,0.020679986,Benign
0,0,0,0,0,1,0,0,0,0,Benign
0.068916519,0.131159163,0.186227323,0.15109413,0.214511041,0.992574287,0.068916519,0.186227323,0.15109413,0.214511041,Benign
0,0,0,0,0,1,0,0,0,0,Benign
0.33285968,0.500531726,0.544613106,0.470996874,0.506484402,0.978283848,0.33285968,0.544613106,0.470996874,0.506484402,Benign
0.06714032,0.125487416,0.196593854,0.092740535,0.128987031,0.992160927,0.06714032,0.196593854,0.092740535,0.128987031,Benign
0.128241563,0.183268345,0.206590152,0.195554012,0.223624255,0.99176233,0.128241563,0.206590152,0.195554012,0.223624255,Benign
0,0,0,0,0,1,0,0,0,0,Benign
0,0,0,0,0,1,0,0,0,0,Benign
0,0,0,0,0,1,0,0,0,0,Benign
